Nume,CodFiscal,Judet,Telefon,CodCAEN2021,DescriereCodCAEN2021,Ratio2021,Ratio2020,Ratio2019,Ratio2018,CifraDeAfaceriNetaRON2021,ProfitNetRON2021,CotaDePiata2021,Salariati2020,CifraDeAfaceriNetaRON2020,ProfitNetRON2020,CotaDePiata2020,CodCAEN2020,DescriereCodCAEN2020,Salariati2019,CifraDeAfaceriNetaRON2019,ProfitNetRON2019,CotaDePiata2019,CodCAEN2019,DescriereCodCAEN2019,Salariati2018,CifraDeAfaceriNetaRON2018,ProfitNetRON2018,CotaDePiata2018,CodCAEN2018,DescriereCodCAEN2018
VALEA SATULUI DE MUNTE SRL,39893210,SIBIU,0731494616,5520,Facilitati de cazare pentru vacante si perioade de scurta durata,0.07892072137836169,0.06534107376456606,0.0,0.14979591836734693,5923438,467482,0.64%,2.0,4312938.0,281812.0,0.47%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,5150.0,0.0,0%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata,1.0,4900.0,734.0,0%,5520.0,Facilitati de cazare pentru vacante si perioade de scurta durata
VICKY GLOBALTRANS SRL,38829775,ALBA,0752552564,4941,Transporturi rutiere de marfuri,0.26134105960264903,0.0,0.6589667813856053,0.32819500510136185,169120,44198,0%,3.0,3680.0,0.0,0%,4941.0,Transporturi rutiere de marfuri,1.0,53464.0,35231.0,0%,4941.0,Transporturi rutiere de marfuri,1.0,45086.0,14797.0,0%,4941.0,Transporturi rutiere de marfuri
SC LA BACIUL SIBIAN PRODBIO SRL,38410296,SIBIU,0741467474,4729,"Comert cu amanuntul al altor produse alimentare, în magazine specializate",0.10641049812383871,0.0,0.0,0.0,3150582,335255,0.3%,9.0,1307587.0,0.0,0.12%,4729.0,"Comert cu amanuntul al altor produse alimentare, în magazine specializate",2.0,478468.0,0.0,0.05%,4729.0,"Comert cu amanuntul al altor produse alimentare, în magazine specializate",2.0,188329.0,0.0,0.02%,4729.0,"Comert cu amanuntul al altor produse alimentare, în magazine specializate"
S.C.SILVERTOPGOLD ROOM SRL,40257284,HARGHITA,0747874157,4721,"Comert cu amanuntul al fructelor si legumelor proaspete, în magazine specializate",0.060146792832928384,0.01389775808671176,nan,nan,2215912,133280,0.01%,5.0,959939.0,13341.0,0.07%,1039.0,Prelucrarea si conservarea fructelor si legumelor n.c.a.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
S.C. NEXT LABEL S.R.L.,38874334,SIBIU,0788498289,4649,Comert cu ridicata al altor bunuri de uz gospodaresc,0.07695351918241415,0.21603318455024473,0.10417002398929849,0.26924881339312506,4636773,356816,0.05%,7.0,2859644.0,617778.0,0.03%,4649.0,Comert cu ridicata al altor bunuri de uz gospodaresc,5.0,1526514.0,159017.0,0.02%,4649.0,Comert cu ridicata al altor bunuri de uz gospodaresc,2.0,946396.0,254816.0,0.01%,4649.0,Comert cu ridicata al altor bunuri de uz gospodaresc
WORTEXCLEANING SRL,40069205,ALBA,0743819495,4619,Intermedieri în comertul cu produse diverse,0.33167472535447645,0.0,0.005223514472886786,0.047739888977002376,220466,73123,0%,5.0,81598.0,0.0,0%,4619.0,Intermedieri în comertul cu produse diverse,0.0,34651.0,181.0,0%,4619.0,Intermedieri în comertul cu produse diverse,0.0,6305.0,301.0,0%,4619.0,Intermedieri în comertul cu produse diverse
GULFERTEILE SRL,37840627,COVASNA,0744357765,4532,Comert cu amanuntul de piese si accesorii pentru autovehicule,0.12973538344510507,0.0,0.01814064873766366,0.15192669517409896,536361,69585,0.01%,4.0,487536.0,0.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,1.0,344916.0,6257.0,0.01%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule,0.0,204625.0,31088.0,0%,4532.0,Comert cu amanuntul de piese si accesorii pentru autovehicule
SC RAPID LIFTS SRL,37844610,ALBA,-,4520,Întretinerea si repararea autovehiculelor,0.04505646488925216,0.16734161883195534,0.4804568259836282,0.4236381653454134,433101,19514,0%,8.0,379780.0,63553.0,0.46%,4942.0,Servicii de mutare,0.0,378700.0,181949.0,0.46%,4942.0,Servicii de mutare,5.0,353200.0,149629.0,0.43%,4942.0,Servicii de mutare
S.C.ICAR RENTAL SRL,37965337,SIBIU,0742323094,4520,Întretinerea si repararea autovehiculelor,0.7137819330641593,0.7567805702159378,0.8066832681222186,0.9262810224527378,1222753,872779,0.01%,5.0,1016913.0,769580.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,2.0,535696.0,432137.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,1.0,236764.0,219310.0,0%,4520.0,Întretinerea si repararea autovehiculelor
AUTO REIFEN TEF SRL,40268631,SIBIU,-,4520,Întretinerea si repararea autovehiculelor,0.09835413112799853,0.01952865305126171,0.023822577141497627,nan,1045223,102802,0.01%,2.0,622726.0,12161.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,2.0,483365.0,11515.0,0.01%,4520.0,Întretinerea si repararea autovehiculelor,nan,nan,nan,nan,nan,nan
